YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,2,12,4,WN,402,N728SW,OAK,LAX,2000.0,1958.0,-2.0,9.0,2007.0,75.0,73.0,54.0,337.0,2101.0,10.0,2115.0,2111.0,-4.0,0.0,0.0,,,,,,
2015,1,6,2,AA,170,N855AA,LAX,LAS,1235.0,1229.0,-6.0,19.0,1248.0,75.0,71.0,40.0,236.0,1328.0,12.0,1350.0,1340.0,-10.0,0.0,0.0,,,,,,
2015,1,3,6,US,1768,N745VJ,CLT,MEM,2000.0,2009.0,9.0,17.0,2026.0,108.0,106.0,84.0,511.0,2050.0,5.0,2048.0,2055.0,7.0,0.0,0.0,,,,,,
2015,2,16,1,EV,3266,N16981,ORD,MEM,2100.0,,,,,114.0,,,491.0,,,2254.0,,,0.0,1.0,B,,,,,
2015,2,27,5,DL,1794,N395DN,SLC,LAX,1703.0,1702.0,-1.0,11.0,1713.0,117.0,105.0,90.0,590.0,1743.0,4.0,1800.0,1747.0,-13.0,0.0,0.0,,,,,,
2015,1,25,7,HA,190,N491HA,LIH,HNL,1652.0,1646.0,-6.0,6.0,1652.0,33.0,34.0,21.0,102.0,1713.0,7.0,1725.0,1720.0,-5.0,0.0,0.0,,,,,,
2015,1,5,1,OO,4985,N124SY,SAT,ORD,1707.0,1743.0,36.0,11.0,1754.0,172.0,226.0,139.0,1041.0,2013.0,76.0,1959.0,2129.0,90.0,0.0,0.0,,54.0,0.0,0.0,36.0,0.0
2015,2,24,2,UA,745,N480UA,DEN,PDX,1909.0,1908.0,-1.0,13.0,1921.0,175.0,161.0,146.0,991.0,2047.0,2.0,2104.0,2049.0,-15.0,0.0,0.0,,,,,,
2015,2,6,5,WN,513,N560WN,ATL,TPA,850.0,847.0,-3.0,14.0,901.0,90.0,76.0,59.0,406.0,1000.0,3.0,1020.0,1003.0,-17.0,0.0,0.0,,,,,,
2015,2,17,2,DL,2311,N913DL,JFK,MIA,1530.0,1634.0,64.0,36.0,1710.0,205.0,226.0,180.0,1089.0,2010.0,10.0,1855.0,2020.0,85.0,0.0,0.0,,21.0,0.0,35.0,29.0,0.0
